Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
PAndAS-03,-7.326236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-5.376236082520881,0.48,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-6.956236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-5.654245313917955,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
And XIX,-4.7234593907939715,0.98,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-6.708798103340261,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And XXV,-5.2734552501445435,0.98,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-5.14879810334026,0.48,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-5.490302761118443,0.48,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-4.106236082520882,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-5.86540746248937,0.98,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-5.752269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-4.021337416818104,0.48,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-5.64377956766093,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-5.373779567660931,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-6.212269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
Bol520,-5.881744188994679,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-5.31377956766093,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-6.211866715778079,0.98,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-5.875171105320959,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-6.98279758313441,0.98,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-5.818418600632244,0.48,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-8.851940269023192,0.48,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-6.416236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-5.331744188994679,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-6.826236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-5.493455250144543,0.48,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-5.6787981033402595,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-5.714598574616131,0.36,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-6.194122787134555,0.98,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-6.836236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-5.916236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-5.665171105320959,0.48,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-6.676236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-6.536236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-5.373779567660931,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-10.376182778462518,0.48,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-10.081940269023193,0.98,125.62894903453277,9.824379203203415,0.09,0.0
Fornax,-7.558169216545367,0.48,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-9.644245313917954,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-9.934245313917955,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-10.766182778462516,0.98,13.958772114948081,88.41941282883074,0.03,0.0
