 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 NGC3521sat               	 110540.7+000715 	-1	10.7	8.62	        	 <-4.19   	         	26.7	4.7	1.85
 AGC213436                	 112224.0+125846 	-1	10.3	8.34	        	-3.98	         	23.9	0.65	1.75
 KDG078                   	 112954.0+522414 	-1	9.9	8.29	6.83	 <-4.37   	 <-4.36  	24.6	-0.04	1.32
 NGC3990                  	 115735.6+552731 	-1	10.3	9.52	        	          	 <-4.10  	23.1	-0.7	-0.18
 KDG098                   	 121829.4+283845 	-1	9	8.3	        	-4.11	         	24.5	0.55	1.55
 PGC4555586               	 121831.5+300340 	-1	8.22	8.01	        	-3.91	         	24.6	0.02	1.26
 KK132                    	 121906.5+474351 	-1	7.66	7.35	        	-5.18	         	24.9	3.68	1.76
 KDG101                   	 121909.1+470523 	-1	7.28	8.41	        	-4.49	-3.92	24.8	1.22	1.7
 PGC4323538               	 122216.7+305324 	-1	7.49	7.89	        	 <-4.63   	         	23.8	0.19	1.33
 LV J1228+4358            	 122844.9+435818 	-1	4.07	8.53	        	 <-5.13   	 <-5.01  	25.7	0.84	1.41
 dw1240-42                	 124002.0-422444 	-1	3.6	6.86	 <6.64  	 <-5.03   	         	25.4	0.74	1.88
 SUCD1                    	 124003.1-114004 	-1	9.55	7.39	 <7.17  	 <-4.43   	         	22	6.66	2.07
 HSC-9                    	 124053.0+321656 	-1	7.3	7.1	 <6.86  	 <-4.65   	         	25.9	3.08	1.29
 dw1241-32                	 124127.0-425345 	-1	3.6	6.41	 <6.64  	 <-5.06   	         	25.8	0.79	1.87
 N4625A                   	 124211.0+411510 	-1	7.9	7.34	        	 <-4.56   	         	25.4	3.68	0.67
 HSC-10                   	 124231.4+315809 	-1	7.3	6.86	 <6.86  	 <-4.65   	         	25.6	2.72	1.29
 dw1243-42                	 124313.0-422748 	-1	3.6	6.68	 <6.64  	 <-5.05   	         	25.8	3.96	1.88
 LV J1243+3232            	 124344.6+323204 	-1	7.3	7.11	        	 <-4.64   	         	25.3	3.14	1.29
 KK165                    	 124852.7+315813 	-1	5.4	7.44	        	 <-4.90   	         	25.4	1.63	0.64
 dw1251-40                	 125156.0-401953 	-1	3.6	6.26	 <6.64  	 <-5.03   	         	25	4.3	1.88
 dw1252-40                	 125201.0-402155 	-1	3.6	7.37	 <6.64  	 <-5.04   	         	24.2	3.19	1.88
 dw1252-43                	 125225.0-430558 	-1	3.6	6.3	 <6.64  	 <-5.06   	         	25.3	1.15	1.88
 dw1255+40                	 125502.0+403524 	-1	9.04	7.44	        	 <-4.47   	         	26.5	0.58	1.83
 dw1257-41                	 125745.0-412252 	-1	3.6	7.13	 <6.64  	 <-4.98   	         	25.7	1.29	1.88
 dw1258-37                	 125829.0-370721 	-1	3.6	6.52	 <6.64  	 <-5.17   	         	26.9	0.82	1.88
 dw1301-30                	 130128.0-300643 	-1	4.9	6.72	 <6.91  	 <-4.84   	         	26.2	0.44	1.62
 dw1302-40                	 130249.0-400835 	-1	3.6	6.59	 <6.64  	 <-5.02   	         	26.7	1.35	1.88
 KDG218                   	 130544.0-074520 	-1	5	7.71	 <6.61  	-4.85	         	26.6	-1.01	-2.25
 dw1306-29                	 130648.0-295330 	-1	4.9	6.87	 <6.91  	 <-4.77   	         	25.2	0.65	1.65
 dw1308+40                	 130846.0+405404 	-1	9.04	7.54	        	 <-4.46   	         	24.8	1.72	1.75
 ESO269-066               	 131309.2-445324 	-1	3.75	8.42	 <4.92  	 <-4.96   	 <-5.39  	24.7	2.02	1.88
 NGC5011C                 	 131311.9-431556 	-1	3.73	7.98	 <7.16  	-3.36	         	22.9	2.36	1.88
 LV J1313+1003            	 131347.3+100311 	-1	5.29	7.71	 <6.60  	-4.87	         	25.6	-0.88	-1.47
 dw1314-28                	 131402.0-281212 	-1	4.9	7.25	 <6.91  	 <-4.84   	         	25.3	0.93	1.65
 dw1318-21                	 131804.0-215306 	-1	4.9	7.06	 <6.91  	 <-4.77   	         	25	0.23	1.65
 dw1318-44                	 131858.0-445341 	-1	3.6	5.92	 <6.64  	 <-5.05   	         	25.1	2.29	1.88
 dw1321-27                	 132108.0-274456 	-1	4.9	6.79	 <6.91  	 <-4.88   	         	26.9	1.27	1.65
 dw1322-27                	 132206.0-273445 	-1	4.9	7.17	 <6.91  	 <-4.87   	         	25.6	1.3	1.65
 dw1323-40c               	 132337.0-404317 	-1	3.6	6.64	 <6.64  	 <-5.01   	         	26.5	2.24	1.88
 dw1323-40b               	 132355.0-405009 	-1	3.6	6.83	 <6.64  	 <-5.00   	         	25.7	2.29	1.88
 dw1323-40                	 132453.0-404541 	-1	3.6	6.98	 <6.64  	 <-5.02   	         	25.1	2.27	1.88
 dw1325-33                	 132541.0-330025 	-1	4.9	6.78	 <6.75  	 <-4.87   	         	26.5	1.3	1.62
 dw1326-37                	 132622.0-372308 	-1	3.6	6.45	 <6.64  	 <-5.13   	         	25.4	1.74	1.88
 dw1327+51                	 132701.0+514108 	-1	8.4	7	        	 <-4.54   	         	24.7	0.56	1.87
 dw1328-29                	 132812.0-292845 	-1	4.9	6.75	 <6.75  	 <-4.85   	         	25.8	2.23	1.65
 dw1329-45                	 132910.0-451031 	-1	3.6	6.4	 <6.64  	 <-5.07   	         	25.5	2.27	1.88
 dw1330-38                	 133041.0-381003 	-1	3.6	6.16	 <6.64  	 <-5.19   	         	27.6	1.39	1.88
 dw1331-40                	 133126.0-401547 	-1	3.6	5.79	 <6.64  	 <-5.08   	         	27.2	1.98	1.88
 dw1331-37                	 133132.0-370329 	-1	3.6	5.89	 <6.64  	 <-5.11   	         	28	1.28	1.88
 UGCA361                  	 133236.2+494949 	-1	8.4	8.13	        	-4.08	 <-4.43  	25.2	1.25	1.87
 dw1337-44                	 133734.0-441307 	-1	3.6	6.65	 <6.64  	 <-5.04   	         	24.9	2.17	1.88
 dw1337-41                	 133755.0-415411 	-1	3.6	6.49	 <6.64  	 <-5.08   	         	26.6	2.15	1.88
 dw1338+50                	 133849.0+500110 	-1	8.4	7.08	        	 <-4.53   	         	25.8	1.01	1.87
 dw1341-43                	 134137.0-435117 	-1	3.6	6.88	 <6.64  	 <-5.07   	         	25.9	1.96	1.88
 dw1342-43                	 134244.0-431519 	-1	3.6	6.8	 <6.64  	 <-5.11   	         	25.5	1.92	1.88
 dw1343-34                	 134349.0-345607 	-1	4.9	6.31	 <6.91  	 <-4.88   	         	27.8	0.93	1.62
 dw1355+51                	 135511.0+515429 	-1	6.95	7.07	        	 <-4.71   	         	24.5	1.27	1.56
 dw1357-28                	 135700.0-285515 	-1	4.9	6.5	 <6.91  	 <-4.88   	         	26.9	1.15	1.62
 UGC08882                 	 135714.6+540603 	-1	8.32	7.67	        	-3.99	-4.22	24.5	-0.22	-0.83
 dw1401-32                	 140125.0-323746 	-1	4.9	6.87	 <6.91  	 <-4.87   	         	26.1	0.79	1.62
 dw1403-33                	 140318.0-332414 	-1	4.9	6.75	 <6.91  	 <-4.86   	         	26.7	0.64	1.62
 M101dwC                  	 140518.0+545356 	-1	6.95	6.58	        	 <-4.70   	         	26.2	3.19	1.56
 dw1406-29                	 140641.0-290810 	-1	4.9	6.87	 <6.91  	 <-4.89   	         	26.6	0.66	1.62
 dw1408+56                	 140841.0+565538 	-1	6.95	7.37	        	 <-4.71   	         	24.6	1.29	1.56
 dw1409-33                	 140903.0-334940 	-1	4.9	6.88	 <6.91  	 <-4.86   	         	26.5	0.41	1.62
 dw1412+56                	 141211.0+560831 	-1	6.95	6.79	        	 <-4.70   	         	25.4	1.55	1.56
 dw1413-34                	 141308.0-342333 	-1	4.9	6.26	 <6.91  	 <-4.86   	         	26.6	0.25	1.62
 dw1416+57                	 141659.0+575439 	-1	6.95	6.95	        	 <-4.71   	         	24.8	0.76	1.56
 dw1446+58                	 144700.0+583404 	-1	6.95	7.19	        	 <-4.71   	         	24.6	-0.02	1.55
 KKR25                    	 161347.6+542216 	-1	1.91	6.73	 <4.93  	          	-5.09	25.8	-1.03	      
 And XXVIII               	 223241.2+311258 	-1	0.65	6.04	        	          	 <-6.60  	26.3	1.09	1.75
 Tucana                   	 224149.0-642512 	-1	0.92	6.66	 <5.49  	-6	         	26.5	-0.29	1.35
 NGC0855                  	 021403.7+275238 	0	9.73	9.37	8.45	-1.59	-1.11	24.1	-0.93	-0.73
 HIPASS J0705-20          	 070545.0-205930 	0	7.23	       	8.21	          	-3.18	      	-0.73	0.86
 NGC4600                  	 124023.0+030704 	0	9.29	9.33	 <7.27  	-3.34	-1.92	23.3	-0.13	1.29
 NGC5195                  	 132958.7+471605 	0	7.66	10.59	8.14	-1.05	-0.54	23.1	0.39	1.72
 NGC6684                  	 184857.9-651024 	0	8.7	10.39	7.41	          	         	22.5	0.08	1.66
 NGC1291                  	 031718.6-410629 	1	9.08	10.97	9.01	-0.98	-0.38	23.8	-1.3	0.1
 NGC2787                  	 091918.6+691212 	1	7.48	10.19	8.43	-2.34	-2.21	22.3	-1.67	-0.54
 NGC3593                  	 111435.9+124907 	1	10.8	10.43	8.33	-1.55	-0.55	23.8	-0.2	-0.06
 NGC4460                  	 122845.8+445152 	1	9.59	9.66	8.08	-1.47	-0.76	23.9	-0.49	1.41
 NGC4594                  	 123959.1-113723 	1	9.55	11.32	8.38	-0.51	-1	22	2.73	-0.01
 NGC5102                  	 132157.8-363747 	1	3.66	9.7	8.47	          	-1.99	23.9	1.08	1.86
 NGC4736                  	 125053.5+410710 	2	4.41	10.56	8.28	-0.53	-0.43	23	-0.13	0.85
 NGC4826                  	 125644.2+214105 	2	4.41	10.49	8.27	-1.03	-0.64	23	-0.73	-0.86
 MESSIER031               	 004244.5+411609 	3	0.77	10.73	9.73	-0.01	-0.27	23.1	3.08	1.42
 NGC0891                  	 022232.8+422048 	3	9.95	10.98	9.66	-0.28	-0.09	23.7	0.33	-0.07
 NGC2683                  	 085240.9+332502 	3	9.82	10.81	9.14	-0.02	-0.1	23.3	-0.05	-1.17
 MESSIER081               	 095533.5+690400 	3	3.7	10.95	9.46	0.04	0	22.9	2.73	1.51
 NGC3351                  	 104357.7+114213 	3	9.95	10.65	8.94	-0.33	-0.18	23.2	0.81	1.87
 NGC3368                  	 104645.8+114911 	3	10.42	10.83	9.18	-0.54	-0.36	23.1	1.1	2
 NGC2903                  	 093209.6+213002 	4	8.87	10.82	9.44	0.16	0.28	23	1.68	-0.75
 NGC3344                  	 104330.2+245525 	4	9.82	10.33	9.44	-0.13	-0.08	23.3	-0.29	-1.22
 NGC3521                  	 110548.6-000209 	4	10.7	11.09	9.65	0.12	0.5	22.8	2.23	-0.23
 NGC3627                  	 112015.0+125929 	4	8.32	10.82	8.83	0	0.17	22.6	0.15	1.57
 NGC4258                  	 121857.5+471814 	4	7.66	10.92	9.62	0.4	0.44	23.2	1.82	1.01
 NGC5055                  	 131549.3+420145 	4	9.04	11	9.62	0.11	0.21	23.5	1.1	-0.38
 NGC6744                  	 190945.9-635128 	4	9.51	10.91	10.31	0.54	0.35	24	1.9	1.15
 NGC0024                  	 000956.4-245748 	5	7.31	9.48	8.64	-0.6	-1.01	24.5	-1.2	0.07
 NGC0253                  	 004734.3-251732 	5	3.7	10.98	9.09	0.34	0.26	23.1	0.13	0.66
 NGC0628                  	 013641.3+154712 	5	10.19	10.6	9.73	0.14	0.23	23.5	-0.25	-0.54
 NGC2835                  	 091752.9-222119 	5	10.3	10.19	9.34	0.02	0.22	23.9	0.46	1.57
 NGC4136                  	 120917.7+295539 	5	7.9	9.39	8.67	-0.8	-1.02	23.2	-0.64	-0.06
 NGC5194                  	 132952.7+471404 	5	8.4	10.97	9.32	0.29	0.46	23	0.07	1.34
 NGC5236                  	 133700.1-295204 	5	4.9	10.86	9.99	0.2	0.44	22.9	0.54	0.09
 NGC7640                  	 232206.6+405044 	5	8.43	9.77	9.56	          	-0.45	24.1	0.83	0.23
 MESSIER033               	 013350.8+303937 	6	0.93	9.62	9.4	-0.25	-0.35	23.7	1.47	1.73
 NGC0672                  	 014753.2+272601 	6	7.18	9.65	9.22	-0.45	-0.7	23.5	0.23	0.24
 IC0342                   	 034648.9+680545 	6	3.28	10.6	10.16	0.6	-0.26	23.3	0.39	1.79
 NGC1637                  	 044128.2-025129 	6	9.29	10.07	9.01	          	-0.48	23.1	-2.27	      
 NGC2283                  	 064552.7-181237 	6	10	9.84	9.44	          	-0.12	23.3	1.32	-0.04
 NGC2403                  	 073651.4+653558 	6	3.19	9.86	9.26	-0.08	-0.15	24.2	0.2	1.88
 NGC3556                  	 111131.0+554026 	6	9.9	10.52	9.42	0.1	-0.04	21.8	-1.21	-0.29
 NGC4244                  	 121729.9+374827 	6	4.31	9.52	9.19	-0.5	-0.9	25	0.36	1.41
 NGC4559                  	 123557.7+275735 	6	8.91	10.2	9.52	0.19	0.14	23.5	0.67	0.94
 NGC4618                  	 124132.8+410903 	6	7.9	9.65	8.9	-0.51	-0.55	22.9	1.37	0.34
 NGC4688                  	 124746.5+042010 	6	6.7	8.5	8.52	-1.41	         	23.9	2.12	0.12
 NGC4945                  	 130526.1-492816 	6	3.47	10.66	8.91	          	-0.03	23.5	0.82	1.69
 NGC5068                  	 131855.3-210221 	6	5.45	9.78	8.87	-0.5	-0.28	23.9	-0.15	-0.28
 MESSIER101               	 140312.8+542102 	6	6.95	10.79	9.86	0.52	0.46	24.3	1.31	0.12
 ESO137-018               	 162059.3-602915 	6	5.86	9.54	8.59	          	-1.31	22.7	-1.33	      
 NGC6503                  	 174927.6+700841 	6	6.25	10	8.86	-0.56	-0.37	23.1	0	-1.39
 NGC6946                  	 203451.1+600915 	6	5.89	10.76	9.88	0.28	0.39	23.2	0.56	0.4
 NGC7090                  	 213628.6-543326 	6	9.51	10.03	9.26	-0.37	-0.31	24.1	-1.65	-0.23
 IC5201                   	 222057.4-460203 	6	8.8	10.01	9.23	-0.35	-0.68	24.2	-0.01	-0.93
 NGC7462                  	 230247.2-405006 	6	10.1	9.48	8.81	-0.4	         	24.1	-1.85	      
 NGC7713                  	 233615.0-375620 	6	7.8	9.43	8.74	          	-0.64	23.8	0.44	0.39
 NGC7793                  	 235749.4-323524 	6	3.63	9.7	8.7	-0.42	-0.45	23.8	0.25	1.73
 NGC0247                  	 004708.3-204536 	7	3.72	9.5	9.18	-0.25	-0.55	24.9	1.61	1.73
 NGC0300                  	 005453.5-374057 	7	2.09	9.41	9.32	-0.56	-0.78	24.4	0.13	0.23
 UGC01281                 	 014932.3+323533 	7	5.27	8.57	8.28	-1.61	-1.94	24.7	-1.2	-0.55
 NGC0925                  	 022716.0+333441 	7	9.55	10.14	9.6	0.12	-0.01	24.1	1.01	0.54
 ESO115-021               	 023745.0-612028 	7	5.08	8.75	8.58	-1.44	-1.63	25.8	-1.33	0.32
 NGC1313                  	 031815.4-662951 	7	4.31	9.57	9.29	-0.09	-0.27	23.4	-0.68	-0.5
 NGC1560                  	 043249.9+715252 	7	2.99	8.6	8.91	-1.34	-1.43	24.8	0.78	1.54
 NGC1744                  	 045958.2-260136 	7	10	9.42	9.35	-0.2	-0.59	24.1	0.1	-0.49
 NGC2976                  	 094715.6+675449 	7	3.66	9.44	8.05	-1.33	-1.06	23.2	3.05	1.9
 UGCA193                  	 100236.2-060043 	7	9.7	8.5	8.55	-1.45	-1.87	25.7	1.52	1.71
 NGC3274                  	 103217.1+274007 	7	7.98	8.83	8.76	-0.94	-1.06	23.4	-1.03	-1.05
 NGC3621                  	 111816.1-324842 	7	6.64	10.34	9.62	0.1	0.25	23.5	-1.7	-2.03
 PGC4310323               	 120531.0+310434 	7	7.41	7.17	        	-3.63	         	24	0.81	0.24
 NGC4144                  	 120959.3+462726 	7	6.89	9.25	8.71	-0.81	-0.92	24.1	0.25	1.68
 NGC4204                  	 121514.4+203931 	7	8	9.12	8.57	-1.11	-1.05	24.6	-0.08	1.5
 NGC4242                  	 121730.2+453710 	7	7.9	9.47	8.7	-0.92	-1.05	23.8	1.38	1.76
 NGC4288                  	 122038.1+461730 	7	8.05	8.61	8.61	-1.12	-1.25	23.6	1.08	1.77
 NGC4455                  	 122844.1+224921 	7	8.4	8.95	8.62	-1.05	-1.2	23.8	0.1	1.62
 NGC4490                  	 123036.4+413837 	7	8.91	10.28	9.59	0.08	0.28	22	4.1	0.63
 NGC4517                  	 123245.5+000654 	7	8.36	10.27	9.22	-0.68	         	23.6	-0.67	0.79
 NGC4631                  	 124208.0+323229 	7	7.35	10.49	9.72	0.76	-0.1	23.3	2.57	0.34
 NGC4700                  	 124907.6-112441 	7	7.3	8.86	8.43	-0.86	-1.74	23.8	-0.71	-0.17
 NGC5023                  	 131211.9+440219 	7	6.05	9.01	8.58	-0.96	-1.31	24.8	-0.89	-1.07
 PGC725719                	 132256.8-294419 	7	5.85	7.58	        	-3.55	         	24.2	-0.1	1.64
 NGC5229                  	 133402.9+475455 	7	8.4	8.51	8.52	-1.41	-1.54	25.1	2.54	1.87
 NGC5585                  	 141948.3+564349 	7	5.7	9.03	8.82	-0.8	-1.08	23.4	-0.51	-1.08
 ESO273-014               	 145830.3-474155 	7	9.9	9.44	9.61	          	         	23.5	-1.95	      
 ESO274-001               	 151413.5-464845 	7	2.79	8.92	8.32	          	-1.35	24.5	-0.51	-0.29
 IC5052                   	 205206.2-691214 	7	5.5	9.27	8.81	-0.83	-1.12	23.9	-1.84	      
 ESO347-017               	 232656.1-372049 	7	7.6	8.37	8.15	-1.7	-1.77	24.6	0.1	0.58
 IC5332                   	 233427.5-360606 	7	7.8	9.62	9.18	-0.39	-0.52	24.1	0.25	0.22
 NGC0045                  	 001403.9-231056 	8	6.64	9.33	9.18	-0.45	-0.54	24.6	-1.05	0.23
 NGC0055                  	 001508.5-391313 	8	2.11	9.48	9.44	-0.22	-0.36	24.6	0.05	0.24
 NGC0625                  	 013505.0-412611 	8	4.02	8.96	8	-1.52	-1.2	24.3	-0.33	-0.72
 IC1727                   	 014730.1+271952 	8	7.45	9.49	8.9	-0.69	-1.1	24.4	0.39	0.4
 NGC0784                  	 020116.8+285037 	8	5.37	8.67	8.53	-1.33	-1.46	24.7	-1.3	-0.64
 UGC01807                 	 022113.4+424546 	8	9.95	7.89	8.56	-1.65	-1.8	26.3	3.24	1.73
 DDO025                   	 023318.2+332928 	8	9.55	8.89	8.43	-1.3	 <-1.66  	24.4	1.21	1.03
 DDO024                   	 023343.0+403141 	8	9.95	8.97	8.74	          	 <-1.56  	24.3	0.96	1.75
 ESO154-023               	 025650.4-543423 	8	5.86	8.93	9.14	-1	-1.32	25.5	-1.69	-0.47
 NGC1156                  	 025942.4+251415 	8	7.8	9.31	8.82	-0.47	-0.48	23	0.88	-1.4
 ESO300-014               	 030937.8-410150 	8	9.8	9.3	8.65	-1.07	-1.42	25.7	0.36	1.71
 NGC1311                  	 032007.4-521106 	8	5.55	8.43	8.04	-1.67	-1.55	25.2	-1.19	-0.18
 UGC02716                 	 032407.2+174515 	8	6.5	8.36	7.69	-1.97	-2.25	23.9	-0.56	-1.68
 IC1959                   	 033311.8-502438 	8	6.19	8.49	8.38	-1.18	-1.38	24.5	-1.49	-0.19
 NGC1569                  	 043049.1+645053 	8	3.19	9.4	8.3	-0.55	-0.08	22	1.12	1.92
 UGCA105                  	 051415.1+623451 	8	3.39	9.14	8.65	-1.07	-1.23	23.6	0.25	1.47
 UGC03303                 	 052459.5+043018 	8	7.14	8.75	8.52	          	-1.11	25.9	-2.16	-0.57
 NGC2188                  	 061009.5-340622 	8	8.39	9.37	8.72	          	-0.83	23.8	-1.33	-0.13
 WHI B0619-07             	 062213.8-075016 	8	8.4	9.45	8.94	          	-1.45	22.8	1.53	0.83
 CGMW1-260                	 063800.1-150122 	8	10.8	9.44	8.71	          	-1.24	23.6	-1.18	      
 IC2171                   	 064427.3-175557 	8	9.9	9.05	8.38	          	-1.14	24	1.58	0.62
 UGC03600                 	 065540.0+390542 	8	10.19	8.05	8.07	-1.96	-2.44	25.9	-2.03	      
 ESO558-011               	 070656.8-220226 	8	8.4	9.14	8.07	          	-1.61	23.3	-1.31	0.02
 DDO047                   	 074155.0+164802 	8	8.17	8.74	8.82	-1.3	-1.74	25.5	-0.69	-0.76
 DDO062                   	 092127.5-223002 	8	10.86	8.71	9.15	-1.42	-1.61	24.9	-0.07	0.97
 MCG +09-16-010           	 092317.0+515823 	8	7.35	7.63	        	-2.42	-2.7	24.6	-1.04	-1.4
 LV J0926+3343            	 092609.4+334304 	8	10.3	7.29	7.8	-2.39	-2.74	25.9	-0.51	-1.31
 NGC3037                  	 095124.0-270040 	8	8.1	8.69	8.31	-1.43	-1.27	22.6	-1.22	-1.31
 MESSIER082               	 095553.9+694057 	8	3.61	10.59	8.97	-0.94	0.21	22.3	3.08	1.78
 PGC28789                 	 095800.9+471928 	8	7.08	7.68	        	-2.45	         	25.3	-1.31	-1.28
 NGC3109                  	 100307.2-260936 	8	1.34	8.58	8.38	-1.37	-1.76	25	-0.33	-1.22
 UGC05427                 	 100441.0+292159 	8	7.69	8.21	7.54	-1.93	-2.26	24.1	-1.02	-0.35
 PGC30114                 	 101843.0+460244 	8	8.05	7.89	        	-1.88	         	25.1	-1.08	-1.26
 NGC3239                  	 102504.9+170949 	8	7.9	9.52	8.89	-0.4	-0.45	23.6	-1.05	-0.92
 IC2574                   	 102822.4+682458 	8	3.93	9.33	9.04	-0.8	-1	24.8	1.53	1.9
 ESO501-023               	 103523.2-244515 	8	7	8.88	8.53	-1.2	         	24.4	-1.16	      
 LeG03                    	 103548.8+082847 	8	10.4	7.51	7.69	          	         	25.6	0.19	1.81
 NGC3299                  	 103623.8+124227 	8	10.4	8.96	8.07	-1.63	-1.42	23.7	0.8	1.9
 UGC05812                 	 104056.6+122819 	8	10.4	8.23	7.6	-2.26	         	24.8	1.5	2.1
 FS04                     	 104200.3+122006 	8	10.4	8.15	7.46	-2.56	         	24.2	1.77	2.1
 DDO084                   	 104241.9+342656 	8	8.11	8.67	8.79	-0.97	-1.25	25.5	-1.02	-1.95
 ESO318-013               	 104741.9-385115 	8	6.92	8.18	8.06	-2.05	         	24.5	-0.69	-1.43
 NGC3432                  	 105231.1+363708 	8	9.2	9.64	9.52	0	-0.25	23	3.07	-0.61
 LV J1203+3257            	 120310.9+325722 	8	7.55	7.46	        	-3.79	         	25.1	-0.57	0.24
 KUG 1202+286             	 120523.3+282156 	8	7.18	7.76	7.22	-2.34	         	23.5	-0.65	0.21
 MAPS1206+31              	 120634.5+312033 	8	7.43	7.81	        	-2.97	         	23.6	0.17	1.32
 LV J1207+3133            	 120750.0+313308 	8	7.31	7.12	6.87	-3.51	         	25.1	-0.39	1.32
 UGC7257                  	 121503.0+355731 	8	8.8	8.3	8.32	-1.31	-1.32	23.5	-0.68	-0.39
 NGC4214                  	 121538.9+361939 	8	2.88	8.98	8.46	-0.9	-0.85	23.4	0.65	-0.63
 NGC4236                  	 121643.3+692756 	8	4.41	9.61	9.14	-0.4	-0.61	24.9	-0.16	0.18
 NGC4248                  	 121749.9+472433 	8	7.4	8.82	7.79	-2.22	-1.92	24.3	1.73	1.7
 LV J1218+4655            	 121811.1+465501 	8	7.66	7.42	        	-2.75	-3.86	25.1	3.74	1.77
 NGC4395                  	 122549.8+333246 	8	4.76	9.47	9.08	-0.47	-0.75	24.8	-0.12	1.45
 DDO123                   	 122608.1+581921 	8	10.5	8.62	8.88	          	 >-1.80  	25.3	-1.25	0.3
 NGC4449                  	 122811.2+440540 	8	4.27	9.68	8.65	-0.24	-0.2	22.6	0.76	1.4
 DDO129                   	 122844.2+431327 	8	8.9	8.81	8.59	-1.22	-1.47	24.5	1.12	1.32
 NGC4485                  	 123031.2+414200 	8	8.91	8.99	8.94	-0.62	-0.7	22.6	5.39	1.16
 UGC07690                 	 123226.9+424215 	8	8.91	8.66	8.44	-1.17	-1.4	23.2	1.6	1.17
 UGC7719                  	 123400.6+390110 	8	9.2	8.21	8.22	-1.69	-1.77	25.4	0.18	1.1
 NGC4534                  	 123405.5+353106 	8	9.8	8.82	9	-0.73	-0.96	24.1	-0.13	1.3
 NGC4605                  	 124000.3+613629 	8	5.55	9.7	8.44	-0.77	-0.66	23.1	-1.07	-0.82
 NGC4597                  	 124012.9-054757 	8	10.1	9.48	9.12	-0.7	-0.75	24.5	0.19	-0.04
 NGC4656                  	 124357.6+321013 	8	5.4	9.59	9.19	-0.01	-0.52	24.5	3.31	0.36
 IC3718                   	 124446.0+122105 	8	6.8	8.22	7.13	-2.81	 <-2.74  	24.5	-1.24	0.45
 KK164                    	 124759.6+042600 	8	6.71	7.85	6.93	-2.43	         	24.1	2.78	0.16
 DDO148                   	 124843.1-051514 	8	9	8.83	7.82	-2.16	         	24.1	0.1	0.02
 MCG-02-33-075            	 125828.3-103437 	8	8.7	8.48	7.57	          	         	25.5	0.2	0.09
 DDO161                   	 130316.8-172523 	8	7.3	8.91	8.99	-0.89	-1.11	26	1.47	-0.24
 IC4182                   	 130549.3+373621 	8	4.35	8.7	8.29	-1.28	-1.6	24.7	0.96	1.44
 UGC08313                 	 131353.9+421231 	8	9.04	8.46	7.95	-1.66	-1.51	24.7	3.64	1.75
 ESO324-024               	 132737.4-412850 	8	3.78	8.35	8.18	-1.8	-1.82	23.8	2.44	1.88
 NGC5204                  	 132936.4+582504 	8	4.59	8.84	8.59	-0.98	-1.12	23.7	-0.88	-0.67
 ESO270-017               	 133447.3-453251 	8	6.95	9.75	9.17	          	-0.81	25.4	-1.35	      
 UGC08647                 	 133948.0+311725 	8	8.6	7.74	7.89	-2.43	         	25.2	-0.77	      
 NGC5253                  	 133955.8-313824 	8	3.44	9.08	7.91	-1.09	-0.64	23.5	0.27	1.68
 NGC5264                  	 134137.0-295450 	8	4.79	8.88	7.7	-1.83	-1.92	23.8	2.46	1.61
 ESO383-087               	 134918.8-360341 	8	3.19	9.05	7.82	-1.45	-1.49	23.2	0.4	1.87
 HolmIV                   	 135445.1+535417 	8	7.24	8.62	8.36	          	-1.68	25.3	1.25	1.55
 NGC5474                  	 140502.1+533947 	8	6.98	9.21	9.01	-0.69	-0.89	23.5	2.89	1.55
 DDO194                   	 143524.6+571524 	8	5.81	8.09	7.83	-2.37	-3.35	24.7	-0.1	-0.21
 IC4710                   	 182838.0-665856 	8	7.38	9.24	8.6	-0.86	-0.87	23.8	-0.99	      
 IC4951                   	 200931.8-615102 	8	9.8	8.92	8.75	-1.13	-1.4	24.7	-0.32	-0.66
 UGC12588                 	 232442.4+412053 	8	8.43	8.83	8.22	          	-1.28	23.7	1.76	0.66
 DDO217                   	 232958.7+405925 	8	8.55	9.37	8.9	-1.09	-1.18	24.6	0.61	0.56
 UGCA442                  	 234346.0-315733 	8	4.37	8.03	8.22	-1.84	-2.18	26	-0.3	0.45
 WLM                      	 000158.1-152740 	9	0.98	7.7	7.84	-2.23	-2.68	24.8	-0.04	1.75
 ESO409-015               	 000531.8-280553 	9	8.71	8.1	8.1	-1.72	-1.47	24.1	-1.98	-2.05
 SMC                      	 005238.0-724801 	9	0.06	8.85	8.65	          	-1.34	24.1	3.32	1.75
 UGC00685                 	 010722.3+164102 	9	4.81	8.03	7.8	-2.27	-2.25	24.6	-1.51	      
 UGC01056                 	 012847.2+164117 	9	10.2	8.54	7.93	-1.86	-1.66	23.2	0.92	1.35
 UGC01104                 	 013242.3+181857 	9	7.55	8.35	8.02	-1.7	-2.01	24.2	-1.64	-1.59
 AGC112454                	 013259.7+142224 	9	10.2	7.35	8.09	          	         	25.4	1.22	1.35
 AGC112503                	 013800.3+145858 	9	10.2	7.15	7.14	          	         	24.6	2.07	1.35
 ESO245-005               	 014503.6-433553 	9	4.57	8.53	8.6	-1.34	-1.59	24.2	-0.73	-0.29
